sim_id,n_ex,n_in,eib,psi_duration,psi_rise,psi_decay,psi_maxval,offset_linear,exp_linear,offset_dexp,exp_0,knee,exp_1
0,9404,596,15.778523489932885,0.0052,0.0005,0.004699999999999999,287189.0967769803,2.3878866171989515,0.9740408698862816,2.3066627846377044,-88.9428927874352,16.110747982347693,89.96458329368468
1,561,9439,0.05943426210403645,0.0208,0.0015,0.019299999999999998,273480.4115750161,4.407255998772158,1.961387748182216,5.179220236169096,0.2544466149135879,905.8191328350371,2.0867676600106817
2,8236,1764,4.668934240362812,0.0068,0.0006,0.0062,275892.56383298937,2.427383057591747,0.973532437960388,4.489893082094254,0.3012663325898102,772.082220359388,1.6743567595115927
3,317,9683,0.03273778787565837,0.0199,0.0015,0.0184,276153.5589885492,4.329785434820816,1.9136946158184516,5.263383277239345,0.304601017030429,970.0055416796274,2.074912783633596
4,9368,632,14.822784810126583,0.0051,0.0005,0.0046,283851.4858866691,2.2225846668687033,0.8887019032286124,4.900531439293037,0.2387017729101446,4143.000176841987,1.8973379797138803
5,7767,2233,3.478280340349306,0.0086,0.0006,0.008,272481.0662448652,2.9675641354368434,1.271465758401847,2.817304520023147,-102.79154902256604,21.645622499550733,104.04810999440845
6,553,9447,0.05853710172541548,0.0215,0.0015,0.019999999999999997,275218.61363757396,4.34188576184748,1.9240424618374234,5.2016282306412345,0.2604675186856631,914.4976277067952,2.091829938076162
7,7928,2072,3.8262548262548264,0.0079,0.0006,0.007300000000000001,275606.0644044636,2.710286245926668,1.127224381062888,4.392649788351689,0.307414824265753,505.785043126379,1.6292030827695605
8,420,9580,0.04384133611691023,0.0203,0.0015,0.018799999999999997,277871.7658709076,4.374038830201981,1.93776512469,5.222385458903763,0.25926539538735055,985.4713427030972,2.1005040392438667
9,1338,8662,0.15446779034864927,0.0197,0.0013,0.0184,267906.7414587185,4.206235841380675,1.8596502103709056,5.001317053056252,0.18986000502613662,716.9018263351478,2.0690010733839306
10,870,9130,0.09529025191675794,0.0211,0.0014,0.019700000000000002,270622.78457225376,4.310483129151439,1.9132049458463134,5.088333541440111,0.2281504256476234,765.5099210754521,2.0721258128401794
11,4376,5624,0.7780938833570412,0.0162,0.0009,0.0153,262096.18018927274,3.849693177807575,1.7009059141375398,4.513768658041003,0.15521931453521753,356.12766919620395,1.8677696755966136
12,8325,1675,4.970149253731344,0.0069,0.0006,0.0063,276516.1321083924,2.5287687539413124,1.0385598985280065,2.6666247441645257,-97.4770061143585,19.94834946007786,98.66541844535638
13,8995,1005,8.950248756218905,0.0058,0.0005,0.005299999999999999,282807.07484088244,2.313364301622771,0.9269338316926506,4.776057735515661,0.30192823497748184,2085.856153817777,1.7823930987033414
14,407,9593,0.04242676951944126,0.0211,0.0015,0.0196,273992.3432316364,4.438107189457355,1.9793111472698957,5.139756436663231,0.20357890320304914,868.6206997364295,2.1224505309807786
15,7651,2349,3.2571306939123033,0.0084,0.0006,0.0078,273686.2154295084,2.9347220071170455,1.2504609191372789,4.361575104821391,0.2930033451001636,449.7605042730656,1.6340032609950546
16,3833,6167,0.6215339711366953,0.0172,0.0009,0.0163,255586.71137604312,3.6071878343789456,1.5625432021821979,4.566979766922125,0.16149192631950315,366.7919131508534,1.8920767561196519
17,1871,8129,0.23016361176036412,0.02,0.0013,0.0187,266414.7750653934,4.16187154911726,1.8385433286603605,4.9829063598729535,0.2716966947793779,610.5521851114419,1.973531094802809
18,8926,1074,8.31098696461825,0.005600000000000001,0.0005,0.0051,279856.9699409793,2.3125882926537478,0.9313231004234179,4.763062230477765,0.314715583309163,1925.2119821173826,1.7668429379805264
19,884,9116,0.09697235629662132,0.0195,0.0014,0.0181,273045.28754410625,4.1672861219247395,1.8275038133308217,5.177673273472988,0.2689803820259303,931.4315254855437,2.0687058774582607
20,2432,7568,0.321353065539112,0.0192,0.0012,0.018,262688.78784039366,4.103336881187366,1.816106510128868,4.847645661966169,0.2166569209789772,524.6914094285847,1.9665949965491187
21,7545,2455,3.0733197556008145,0.0086,0.0006,0.008,272932.9784967784,2.8072433077252934,1.1693983167592157,4.446192735403901,0.31015163951729424,514.1081075812592,1.653566801527982
22,6674,3326,2.006614552014432,0.0107,0.0007,0.01,267438.4366005176,3.1843366669483144,1.368381731699307,4.3318866916968854,0.25782321720933293,324.9020769987841,1.667627921092721
23,9883,117,84.47008547008546,0.004700000000000001,0.0005,0.004200000000000001,290442.9926771631,1.8242821184684455,0.6767622945011077,4.80344371738997,0.08448964937907216,6854.603924338047,2.0058138947278508
24,9889,111,89.09009009009009,0.004700000000000001,0.0005,0.004200000000000001,291508.27685765835,1.8557171004204966,0.6943812756831993,4.8616792363854895,0.076081794448614,8140.521691569849,2.037280483998438
25,116,9884,0.011736139214892756,0.0205,0.0015,0.019,277123.6427732645,4.4004681334514775,1.9519851845742984,5.194469951164009,0.22039455254653362,973.4111656429687,2.1295615846609968
26,9885,115,85.95652173913044,0.0046,0.0005,0.0040999999999999995,289974.1397341808,1.9485767845466766,0.7514621610640198,4.803009268596394,0.07626056833837977,7173.361756358663,2.013436243838811
27,2483,7517,0.33031794598909137,0.0187,0.0012,0.0175,263665.91334296286,3.92052689676997,1.7129120494373962,4.855797053412464,0.23269724564403957,526.0885025154184,1.9522271928563983
